77.53,78.85,77.38,78.26,3781500,63.9
78.4,78.41,77.45,77.95,2968400,63.64
77.89,77.9,77.01,77.42,2765200,63.21
77.42,78.04,76.97,77.59,2434500,63.35
78,78.23,77.44,77.68,1896800,63.42
77.31,77.96,77.04,77.85,1787500,63.56
78.05,79.03,77.88,78.65,2372500,64.22
78.41,79.5,78.22,79.36,2582200,64.8
79.48,79.62,78.92,79.56,2526600,64.96
79.33,79.51,78.75,78.91,2711300,64.43
78.71,79.7,78.6,78.81,1963000,64.35
79.09,79.88,78.82,79.25,2912100,64.71
79.25,79.29,78.13,78.49,2139300,64.09
78.71,79.15,78.33,78.85,1949500,64.38
78.85,79.66,78.85,79.49,1772700,64.9
79.56,79.75,78.83,79.01,2888700,64.51
78.97,79.19,78.23,78.69,1996300,64.25
78.54,79.2,78.25,78.96,3420300,64.47
74.92,76.18,74.24,74.7,15657900,60.99
74.21,74.68,73.09,74.3,9284500,60.66
74.75,74.83,73.71,73.99,6501600,60.41
73.87,74.07,73.72,73.87,5584500,60.31
74.08,74.27,73.7,73.93,6350000,60.36
73.91,74.5,73.82,74.27,4872900,60.64
74.3,74.99,74.28,74.65,4051900,60.95
74.88,74.89,74.11,74.64,3840200,60.94
74.64,75,74.25,74.54,4022300,60.86
74.55,74.89,74.4,74.59,2972100,60.9
76,76.9,75.75,76.43,7193200,62.4
76.43,76.92,76.28,76.84,3888100,62.74
76.9,77.38,76.6,76.91,3627500,62.8
76.91,77.43,76.41,76.84,3794200,62.74
76.5,76.75,75.94,76.58,3962200,62.53
76.1,76.58,75.9,76.23,2820400,62.63
76.25,76.75,76.13,76.35,2795600,62.73
76.49,76.57,75.95,76.21,1987400,62.62
76.45,76.82,75.64,76.12,2594000,62.54
76.13,76.18,73.52,74.5,5865700,61.21
74.25,75,73.53,74.08,5290200,60.87
74,74.01,73.02,73.66,4470900,60.52
73.25,73.79,73,73.01,5008700,59.99
73.01,73.77,72.9,73.17,4905700,60.12
73.62,73.69,73,73.47,4308500,60.37
73.5,74.19,73.17,73.8,3775600,60.64
74.03,75.15,74,74.52,3815900,61.23
74.59,75.31,74.54,74.73,3346200,61.4
74.61,75.29,74.6,75.17,3220100,61.76
74.75,75.5,74.65,74.77,4431500,61.43
74.78,75.84,74.42,75.8,4612800,62.28
75.8,76.26,75.67,75.99,3930100,62.44
76.23,76.26,75.15,75.28,5054500,61.85
75.54,76.46,75.5,76.36,3200500,62.74
76.49,76.5,76.04,76.38,2379600,62.76
76.25,77.06,76.05,76.9,3086300,63.18
77.09,78,76.91,77.78,4071900,63.91
77.59,78.16,77.39,77.97,2780900,64.06
77.66,77.67,76.94,77.38,3542100,63.58
77.44,77.47,76.81,77.17,2692200,63.41
76.74,77.17,76.18,76.38,3186300,62.76
76.38,76.38,75.44,76.09,4233300,62.52
75.98,77.04,75.67,76.43,3400500,62.8
76.44,76.44,75.91,76.28,2414400,62.67
76.53,77.61,76.47,77.46,3094800,63.64
77.5,77.73,76.94,77.16,2595100,63.4
77.03,77.03,76.36,76.75,2484700,63.06
76.84,77.03,76.3,76.83,2127800,63.13
76.88,77,76.42,76.5,2149800,62.85
76.5,76.7,75.91,76.23,2793400,62.63
76.29,76.92,75.95,76.71,2288100,63.03
77.25,77.25,75.91,76.72,2453700,63.04
76.91,77.32,76.71,77.16,2483600,63.4
77,77.47,76.48,77.28,2381300,63.5
77.34,77.36,76.75,77.08,2094800,63.33
76.36,77.89,76.31,77.58,3557800,63.74
77.96,78.5,77.54,77.75,4741300,63.88
77.75,77.89,77.01,77.28,3573800,63.5
77.14,77.35,76.51,77,3734100,63.27
76.96,77.51,76.45,76.97,4650400,63.24
80.31,81.09,79.23,80.45,14209100,66.1
79.97,82.3,79.7,81.55,6776500,67
81.56,83.25,80.88,82.77,6321800,68.01
82.77,83.73,82.16,83.61,5560200,68.7
83.4,84.75,83.2,84.42,5224600,69.36
84.31,84.4,83.51,84.07,4850800,69.07
83.9,84.35,83.69,84.21,2936100,69.19
84.21,85,83.95,84.93,3646900,69.78
84.42,84.94,84.15,84.78,3406800,69.66
84.4,85.49,84.4,85.36,4050500,70.13
85,85.36,84.38,84.65,3181300,69.55
84.78,85.85,84.78,85.55,4106200,70.29
85.3,85.58,84.42,84.83,3498200,69.7
84.85,87.08,84.85,86.17,6580100,70.8
86.48,86.48,84.91,86.01,3930600,71.06
86.09,86.9,85.75,86.67,4186400,71.61
86.93,87.32,86.8,86.9,3953400,71.8
86.88,87.18,86.62,87.06,3580600,71.93
87.06,88.05,87.04,87.78,3567500,72.53
87.65,88.49,87.57,87.94,3393300,72.66
87.62,89.03,87.03,87.15,4452600,72.01
87.55,87.98,87.16,87.35,2793800,72.17
87.17,87.72,86.25,87.31,3294000,72.14
87.3,87.95,86.88,87.93,3607600,72.65
87.93,88.46,87.63,87.96,3561400,72.68
87.95,88.43,87.43,88.43,2852900,73.06
88.43,88.43,87.56,88.07,2320000,72.77
88.07,88.35,87.23,87.46,2529000,72.26
87.47,87.47,86.29,86.62,3008200,71.57
86.62,86.91,84.42,84.88,4791400,70.13
84.88,86,84.55,85.94,3599500,71.01
85.94,85.98,85.17,85.3,2923700,70.48
85.3,85.71,84.4,85.04,3425800,70.26
85.7,87.25,85.02,87.19,4541400,72.04
87.07,87.87,86.92,87.42,2881200,72.23
87.58,88.49,87.52,87.67,4520800,72.44
87.68,88.03,86.82,87.62,2789900,72.39
87.43,87.93,86.92,87.82,2348100,72.56
87.97,88.3,86.99,87.08,2788200,71.95
86.91,87.82,86.12,87.41,2723400,72.22
86.56,87.41,86.13,86.43,4802200,71.41
86.6,87.72,85.86,86.25,2879300,71.26
86.49,87,85.9,86.08,3034400,71.12
85.82,87.23,85.77,87.13,3255900,71.99
87,87.27,86.49,86.85,2342400,71.76
87.1,87.86,86.22,86.79,3322100,71.71
87.29,88,87.13,88,2407400,72.71
88,88.18,87.54,87.94,1053200,72.66
87.68,88.4,87.38,87.76,1886000,72.51
87.95,88.81,87.56,88.11,2009300,72.8
87.97,88.57,87.9,88.11,2323600,72.8
87.94,88.36,87.17,87.22,3430700,72.06
87.22,88.27,87.07,87.88,2567600,72.61
87.67,89.96,87.6,89.93,4195000,74.3
89.58,90.24,89.4,90.22,3609800,74.54
90.63,92.32,89.83,90.87,4584100,75.08
91.44,91.68,90.59,91.08,2550100,75.25
91.1,91.96,91,91.48,4352500,75.58
91.8,91.95,90.41,91.17,2788400,75.33
90.5,91.41,88.6,90.21,5109500,74.53
90.61,91.42,90.35,90.87,2767300,75.08
90.54,91.23,89.35,89.69,3644400,74.11
90.24,90.29,88.04,89.62,5098100,74.05
89.62,91.91,88.74,90.05,7577700,74.4
90.4,92,90.05,90.05,6248700,74.4
90.18,90.9,89.77,90.18,4845800,74.51
89.46,90.48,88.78,88.92,5724600,73.47
88.94,89.47,87.75,89.07,5677300,73.59
89.06,89.46,88.4,89.12,3854600,73.63
88.68,89.15,87.51,87.56,5021400,72.35
87.7,88.37,86.61,87.77,5717800,72.52
86.96,88.71,86.95,88.03,4512200,72.73
87.9,88.57,86.99,88.15,4757100,72.83
87.9,88.13,86.77,86.86,5069600,71.77
86.36,86.69,84.76,85.97,5881900,71.03
87.16,87.16,85.75,86.25,3204900,71.26
86.27,86.76,85.39,85.76,3468500,70.86
84.94,86.43,84.93,85.06,3913400,70.28
83.21,86.28,83.21,85.4,6718500,70.56
87,89.11,86.03,87.83,6135100,72.57
87.55,88.84,87.4,88.27,3214900,72.93
88.1,88.74,87.65,88.46,3081600,73.09
88.52,89.58,88.05,89.07,3059800,73.99
