RIC
MMM.N
ABT.N
ABBV.N
ACE.N
ACN.N
ACT.N
ADBE.O
ADT.N
AES.N
AET.N
AFL.N
A.N
GAS.N
APD.N
ARG.N
AKAM.O
AA.N
ALXN.O
ATI.N
ALLE.N
AGN.N
ADS.N
ALL.N
ALTR.O
MO.N
AMZN.O
AEE.N
AEP.N
AXP.N
AIG.N
AMT.N
AMP.N
ABC.N
AME.N
AMGN.O
APH.N
APC.N
ADI.N
AON.N
APA.N
AIV.N
AAPL.O
AMAT.O
ADM.N
AIZ.N
T.N
ADSK.O
ADP.N
AN.N
AZO.N
AVB.N
AVY.N
AVP.N
BHI.N
BLL.N
BAC.N
BK.N
BRL.N
BAX.N
BBT.N
BIG.N
BDX.N
BBBY.O
BMS.N
BRKb.N
BBY.N
BIIB.O
BLK.N
HRB.N
BA.N
BWA.N
BXP.N
BSX.N
BMY.N
BRCM.O
BFb.N
CHRW.O
CA.O
CVC.N
COG.N
CAM.N
CPB.N
COF.N
CAH.N
CFN.N
KMX.N
CCL.N
CAT.N
CBG.N
CBS.N
CELG.O
CNP.N
CTL.N
CERN.O
CF.N
SCHW.N
CHK.N
CVX.N
CMG.N
CB.N
CI.N
CINF.O
CTAS.O
CSCO.O
C.N
CTXS.O
CLF.N
CLX.N
CME.O
CMS.N
COH.N
KO.N
CCE.N
CTSH.O
CL.N
CMCSA.O
CMA.N
CSC.N
CAG.N
COP.N
CNX.N
ED.N
STZ.N
GLW.N
COST.O
COV.N
CCI.N
CSX.N
CMI.N
CVS.N
DHI.N
DHR.N
DRI.N
DVA.N
DE.N
DLPH.N
DAL.N
DNR.N
XRAY.O
DVN.N
DO.N
DTV.O
DFS.N
DISCA.O
DG.N
DLTR.O
D.N
DOV.N
DOW.N
DPS.N
DTE.N
DUK.N
DD.N
DNB.N
ETFC.O
EMN.N
ETN.N
EBAY.O
ECL.N
EIX.N
EW.N
EA.O
EMC.N
EMR.N
ESV.N
ETR.N
EOG.N
EQT.N
EFX.N
EQR.N
EL.N
EXC.N
EXPE.O
EXPD.O
ESRX.O
XOM.N
FFIV.O
FB.O
FDO.N
FAST.O
FDX.N
FIS.N
FITB.O
FSLR.O
FE.N
FISV.O
FLIR.O
FLS.N
FLR.N
FMC.N
FTI.N
F.N
FISV.O
FOSL.O
BEN.N
FCX.N
FTR.O
GME.N
GCI.N
GPS.N
GRMN.O
GD
GEGE.N
GGP.N
GIS.N
GM.N
GPC.N
GNW.N
GILD.O
GS.N
GT.O
GOOGL.O
GWW.N
HAL.N
HOG.N
HAR.N
HRS.N
HIG.N
HAS.N
HCP.N
HCN.N
HP.N
HES.N
HPQ.N
HD.N
HON.N
HRL.N
HSP.N
HST.N
HCBK.N
HUM.N
HBAN.N
ITW.N
IR.N
TEG.N
INTC.O
ICE.N
IBM.N
IGT.N
IP.N
IPG.N
IFF.N
INTU.O
ISRG.O
IVZ.N
IRM.N
JBL.N
JEC.N
JNJ.N
JCI.N
JOY.N
JPM.N
JNPR.N
KSU.N
K.N
KEY.N
KMB.N
KIM.N
KMI.N
KLAC.O
KSS.N
KRFT.O
KR.N
LB.N
LLL.N
LH.N
LRCX.O
LM.N
LEG.N
LEN.N
LUK.N
LLY.N
LNC.N
LLTC.O
LMT.N
L.N
LO.N
LOW.N
LSI.N
LYB.N
MTB.N
MAC.N
M.N
MRO.N
MPC.N
MAR.O
MMC.N
MAS.N
MA.N
MAT.N
MKC.N
MCD.N
MHFI.N
MCK.N
MJN.N
MWV.N
MDT.N
MRK.N
MET.N
MCHP.N
MU.N
MSFT.O
MHK.N
TAP.N
MDLZ.O
MON.N
MNST.O
MCO.N
MS.N
MOS.N
MSI.N
MUR.N
MYL.N
NBR.N
NDAQ.O
NOV.N
NTAP.O
NFLX.O
NWL.N
NFX.N
NEM.N
NWSA.O
NEE.N
NLSN.N
NKE.N
NI.N
NE.N
NBL.N
JWN.N
NSC.N
NTRS.O
NOC.N
NU.N
NRG.N
NUE.N
NVDA.O
KORS.N
ORLY.O
OXY.N
OMC.N
OKE.N
ORCL.N
OI.N
PCG.N
PCAR.O
PLL.N
PH.N
PDCO.O
PAYX.O
BTU.N
PNR.N
PBCT.O
POM.N
PEP.N
PKI.N
PRGO.N
PETM.O
PFE.N
PM.N
PSX.N
PNW.N
PXD.N
PBI.N
PCL.N
PNC.N
RL.N
PPG.N
PPL.N
PX
PCP.N
PCLN.O
PFG.N
PG.N
PGR.N
PLD.N
PRU.N
PEG.N
PSA.N
PHM.N
PVH.N
QEP.N
PWR.N
QCOM.O
DGX.N
RRC.N
RTN.N
RHT.N
REGN.O
RF.N
RSG.N
RAI.N
RHI.N
ROK.N
COL.N
ROP.N
ROST.O
RDC.N
R.N
SWY.N
CRM.N
SNDK.O
SCG.N
SLB.N
SNI.N
STX.O
SEE.N
SRE.N
SHW.N
SIAL.O
SPG.N
SLM.N
SJM.N
SNA.N
SO.n
LUV.N
SWN.N
SE.N
STJ.N
SWK.N
SPLS.O
SBUX.O
HOT.N
STT.N
SRCL.O
SYK.N
STI.N
SYMC.O
SYY.N
TROW.O
TGT.N
TEL.N
TE.N
THC.N
TDC.N
TSO.N
TXN.O
TXT.N
HSY.N
TRV.N
TMO.N
TIF.N
TWX.N
TWC.N
TJX.N
TMK.N
TSS.N
RIG.N
TRIP.O
FOXA.O
TSN.N
TYC.N
USB.N
UNP.N
UNH.N
UPS.N
X.N
UTX.N
UNM.N
URBN.O
VFC.N
VLO.N
VAR.N
VTR.N
VRSN.O
VZ.N
VRTX.O
VIAB.O
V.N
VNO.N
VMC.N
WMT.N
WAG.N
DIS.N
GHC.N
WM.N
WAT.N
WLP.N
WFC.N
WDC.O
WU.N
WY.N
WHR.N
WFM.O
WMB.N
WIN.O
WEC.N
WPX.N
WYN.N
WYNN.O
XEL.N
XRX.N
XLNX.N
XL.N
XYL.N
YHOO.O
YUM.N
ZMH.N
ZION.O
ZTS.N
LXK.N
