Company,Symbol:Sector,NYSE,NASDAQ,,Ticker symbol,Company
Sealed Air,Materials,SEE.N,,,SEE,Sealed Air Corp.(New)
Sempra Energy,Utilities,SRE.N,,,SRE,Sempra Energy
Sherwin-Williams,Consumer Discretionary,SHW.N,,,SHW,Sherwin-Williams
Sigma-Aldrich,Materials,,SIAL.O,,SIAL,Sigma-Aldrich
Simon Property Group,Financials,SPG.N,,,SPG,Simon Property Group Inc
SLM Corporation,Financials,SLM.N,,,SLM,SLM Corporation
Smucker (J.M.),,SJM.N,,,SJM,Smucker (J.M.)
Snap-On,Consumer Discretionary,SNA.N,,,SNA,Snap-On Inc.
Southern,Utilities,SO.n,,,SO,Southern Co.
Southwest Airlines,Industrials,LUV.N,,,LUV,Southwest Airlines
Southwestern Energy,Financials,SWN.N,,,SWN,Southwestern Energy
Spectra Energy,Energy,SE.N,,,SE,Spectra Energy Corp.
St. Jude Medical,Health Care,STJ.N,,,STJ,St Jude Medical
Stanley Works,Consumer Discretionary,SWK.N,,,SWK,Stanley Black & Decker
Staples,Consumer Discretionary,,SPLS.O,,SPLS,Staples Inc.
Starbucks,Consumer Discretionary,,SBUX.O,,SBUX,Starbucks Corp.
Starwood Hotels & Resorts,Consumer Discretionary,HOT.N,,,HOT,Starwood Hotels & Resorts
State Street,Financials,STT.N,,,STT,State Street Corp.
Stericycle Inc,,,SRCL.O,,SRCL,Stericycle Inc
Stryker,Health Care,SYK.N,,,SYK,Stryker Corp.
SunTrust Banks,Financials,STI.N,,,STI,SunTrust Banks
Symantec Corp.,,,SYMC.O,,SYMC,Symantec Corp.
Sysco,Consumer Staples,SYY.N,,,SYY,Sysco Corp.
T. Rowe Price Group,Financials,,TROW.O,,TROW,T. Rowe Price Group
Target,Consumer Discretionary,TGT.N,,,TGT,Target Corp.
TE Connectivity Ltd.,,TEL.N,,,TEL,TE Connectivity Ltd.
TECO Energy,Utilities,TE.N,,,TE,TECO Energy
Tenet Healthcare,Health Care,THC.N,,,THC,Tenet Healthcare Corp.
Teradata,Information Technology,TDC.N,,,TDC,Teradata Corp.
Tesoro Petroleum,Energy,TSO.N,,,TSO,Tesoro Petroleum Co.
Texas Instruments,Information Technology,,TXN.O,,TXN,Texas Instruments
Textron,Industrials,TXT.N,,,TXT,Textron Inc.
The Hershey Company,,HSY.N,,,HSY,The Hershey Company
The Travelers Companies,Financials,TRV.N,,,TRV,The Travelers Companies Inc.
Thermo Fisher Scientific,Health Care,TMO.N,,,TMO,Thermo Fisher Scientific
Tiffany,Consumer Discretionary,TIF.N,,,TIF,Tiffany & Co.
Time Warner,Consumer Discretionary,TWX.N,,,TWX,Time Warner Inc.
Time Warner Cable Inc.,,TWC.N,,,TWC,Time Warner Cable Inc.
TJX Companies,Consumer Discretionary,TJX.N,,,TJX,TJX Companies Inc.
Torchmark,Financials,TMK.N,,,TMK,Torchmark Corp.
Total System Services,,TSS.N,,,TSS,Total System Services
Transocean,Energy,RIG.N,,,RIG,Transocean
TripAdvisor,,,TRIP.O,,TRIP,TripAdvisor
Twenty-First Century Fox,,,FOXA.O,,FOXA,Twenty-First Century Fox
Tyson Foods,Consumer Staples,TSN.N,,,TSN,Tyson Foods
Tyco International,,TYC.N,,,TYC,Tyco International
U.S. Bancorp,Financials,USB.N,,,USB,U.S. Bancorp
Union Pacific,Industrials,UNP.N,,,UNP,Union Pacific
United Health Group,Health Care,UNH.N,,,UNH,United Health Group Inc.
United Parcel Service,Industrials,UPS.N,,,UPS,United Parcel Service
United States Steel,Materials,X.N,,,X,United States Steel Corp.
United Technologies,Industrials,UTX.N,,,UTX,United Technologies
Unum Group,Financials,UNM.N,,,UNM,Unum Group
Urban Outfitters,,,URBN.O,,URBN,Urban Outfitters
V.F. Corporation,Consumer Discretionary,VFC.N,,,VFC,V.F. Corp.
Valero Energy,Energy,VLO.N,,,VLO,Valero Energy
Varian Medical Systems,Health Care,VAR.N,,,VAR,Varian Medical Systems
Ventas Inc,Information Technology,VTR.N,,,VTR,Ventas Inc
Verisign Inc.,,,VRSN.O,,VRSN,Verisign Inc.
Verizon Communications,Telecommunications Services,VZ.N,,,VZ,Verizon Communications
Vertex Pharmaceuticals Inc,,,VRTX.O,,VRTX,Vertex Pharmaceuticals Inc
Viacom,Consumer Discretionary,,VIAB.O,,VIAB,Viacom Inc.
Visa Inc.,,V.N,,,V,Visa Inc.
Vornado Realty Trust,Financials,VNO.N,,,VNO,Vornado Realty Trust
Vulcan Materials,Materials,VMC.N,,,VMC,Vulcan Materials
Wal-Mart,Consumer Staples,WMT.N,,,WMT,Wal-Mart Stores
Walgreen,Consumer Staples,WAG.N,,,WAG,Walgreen Co.
Walt Disney,Consumer Discretionary,DIS.N,,,DIS,The Walt Disney Company
Graham Holdings Company,,GHC.N,,,GHC,Graham Holdings Company
Washington Mutual,Financials,WM.N,,,WM,Waste Management Inc.
Waters Corporation,Health Care,WAT.N,,,WAT,Waters Corporation
WellPoint,Health Care,WLP.N,,,WLP,WellPoint Inc.
Wells Fargo,Financials,WFC.N,,,WFC,Wells Fargo
Western Digital,,,WDC.O,,WDC,Western Digital
Western Union,Information Technology,WU.N,,,WU,Western Union Co
Weyerhaeuser,Materials,WY.N,,,WY,Weyerhaeuser Corp.
Whirlpool,Consumer Discretionary,WHR.N,,,WHR,Whirlpool Corp.
Whole Foods Market,Consumer Staples,,WFM.O,,WFM,Whole Foods Market
Williams Companies,Energy,WMB.N,,,WMB,Williams Cos.
Windstream,Telecommunications Services,,WIN.O,,WIN,Windstream Communications
Wisconsin Energy Corporation,,WEC.N,,,WEC,Wisconsin Energy Corporation
"WPX Energy, Inc.",,WPX.N,,,WPX,"WPX Energy, Inc."
Wyndham Worldwide,Consumer Discretionary,WYN.N,,,WYN,Wyndham Worldwide
Wynn Resorts Ltd,,,WYNN.O,,WYNN,Wynn Resorts Ltd
Xcel Energy,Utilities,XEL.N,,,XEL,Xcel Energy Inc
Xerox,Information Technology,XRX.N,,,XRX,Xerox Corp.
Xilinx,Information Technology,XLNX.N,,,XLNX,Xilinx Inc
XL Capital,Financials,XL.N,,,XL,XL Capital
Xylem Inc.,,XYL.N,,,XYL,Xylem Inc.
Yahoo,Information Technology,,YHOO.O,,YHOO,Yahoo Inc.
Yum! Brands,Consumer Discretionary,YUM.N,,,YUM,Yum! Brands Inc
Zimmer Holdings,Health Care,ZMH.N,,,ZMH,Zimmer Holdings
Zions Bancorp,Financials,,ZION.O,,ZION,Zions Bancorp
Zoetis,,ZTS.N,,,ZTS,Zoetis
