Company,Symbol:Sector,NYSE,NASDAQ,,Ticker symbol,Company
Bank of New York Mellon Corp.,Financials,BK.N,,,BK,The Bank of New York Mellon Corp.
Barr Pharmaceuticals,Health Care,BRL.N,,,BCR,Bard (C.R.) Inc.
Baxter International,Health Care,BAX.N,,,BAX,Baxter International Inc.
BB&T,Financials,BBT.N,,,BBT,BB&T Corporation
Big Lots Inc.,,BIG.N,,,BIG,Big Lots Inc.
,,,,,,
"Becton, Dickinson and Co.",Health Care,BDX.N,,,BDX,Becton Dickinson
Bed Bath & Beyond,Consumer Discretionary,,BBBY.O,,BBBY,Bed Bath & Beyond
Bemis Company,Materials,BMS.N,,,BMS,Bemis Company
Berkshire Hathaway,,BRKb.N,,,BRKb,Berkshire Hathaway
Best Buy Co.,Consumer Discretionary,BBY.N,,,BBY,Best Buy Co. Inc.
Biogen Idec,Health Care,,BIIB.O,,BIIB,BIOGEN IDEC Inc.
BlackRock,,BLK.N,,,BLK,BlackRock
Block H&R,,HRB.N,,,HRB,Block H&R
Boeing,Industrials,BA.N,,,BA,Boeing Company
BorgWarner,,BWA.N,,,BWA,BorgWarner
Boston Properties,Financials,BXP.N,,,BXP,Boston Properties
Boston Scientific,Health Care,BSX.N,,,BSX,Boston Scientific
Bristol Myers Squibb,Health Care,BMY.N,,,BMY,Bristol-Myers Squibb
Broadcom,Information Technology,,BRCM.O,,BRCM,Broadcom Corporation
Brown-Forman,Consumer Staples,BFb.N,,,BFb,Brown-Forman Corporation
C.H. Robinson Worldwide,Industrials,,CHRW.O,,CHRW,C. H. Robinson Worldwide
CA,Information Technology,,CA.O,,CA,"CA, Inc."
Cablevision Systems Corp.,,CVC.N,,,CVC,Cablevision Systems Corp.
Cabot Oil & Gas,,COG.N,,,COG,Cabot Oil & Gas
Cameron International Corp.,,CAM.N,,,CAM,Cameron International Corp.
Campbell Soup,Consumer Staples,CPB.N,,,CPB,Campbell Soup
Capital One Financial,Financials,COF.N,,,COF,Capital One Financial
Cardinal Health,Health Care,CAH.N,,,CAH,Cardinal Health Inc.
Carefusion,,CFN.N,,,CFN,Carefusion
Carmax Inc,,KMX.N,,,KMX,Carmax Inc
Carnival,Consumer Discretionary,CCL.N,,,CCL,Carnival Corp.
Caterpillar,Industrials,CAT.N,,,CAT,Caterpillar Inc.
CB Richard Ellis Group,Financials,CBG.N,,,CBG,CBRE Group
CBS,Consumer Discretionary,CBS.N,,,CBS,CBS Corp.
Celgene,Health Care,,CELG.O,,CELG,Celgene Corp.
CenterPoint Energy,Utilities,CNP.N,,,CNP,CenterPoint Energy
CenturyTel,Telecommunications Services,CTL.N,,,CTL,CenturyLink Inc
Cerner,,,CERN.O,,CERN,Cerner
