Symbol
A
AAPL
ABC
ABT
ACN
ADBE
ADM
ADS
ADSK
AEE
AEP
AES
AET
AGN
AIG
AIV
AIZ
AKAM
ALTR
ALXN
AMAT
AME
AMGN
AMP
AMT
AMZN
AN
AON
APA
APC
APD
APH
ARG
ATI
AVB
AVP
AVY
AZO
BAX
BBBY
BBT
BFb
BHI
BIG
BK
BLK
BLL
BMS
BMY
BRCM
BRKb
BSX
BWA
BXP
C
CA
CAG
CAH
CAM
CB
CBG
CBS
CCE
CCI
CCL
CELG
CERN
CF
CHK
CHRW
CINF
CL
CLX
CMA
CMCSA
CME
CMG
CMI
CMS
CNX
COF
COG
COH
COL
COP
COST
COV
CRM
CSC
CSX
CTAS
CTL
CTSH
CTXS
CVS
D
DAL
DE
DFS
DG
DGX
DHI
DHR
DISCA
DLTR
DNB
DNR
DO
DOV
DOW
DPS
DTE
DTV
DVA
DVN
EBAY
ECL
ED
EFX
EIX
EL
EMC
EMN
EMR
EQT
ESRX
ESV
ETFC
ETN
ETR
EXC
EXPD
EXPE
FAST
FCX
FDO
FDX
FE
FFIV
FIS
FISV
FITB
FLIR
FLR
FLS
FMC
FOSL
FSLR
FTI
GCI
GD
GGP
GILD
GIS
GLW
GM
GME
GNW
GPC
GPS
GRMN
GS
GWW
HAL
HAR
HCN
HCP
HES
HIG
HOG
HON
HOT
HP
HRB
HRL
HRS
HSP
HST
HSY
HUM
ICE
IFF
IGT
INTU
IP
IPG
IR
IRM
ISRG
ITW
IVZ
JBL
JCI
JEC
JNPR
JWN
K
KEY
KIM
KLAC
KMB
KMX
KR
KSS
KSU
L
LEG
LEN
LH
LLL
LLTC
LLY
LM
LMT
LNC
LO
LOW
LRCX
LUK
LUV
LXK
LYB
M
MA
MAC
MAS
MCK
MCO
MDT
MET
MHK
MJN
MKC
MMC
MO
MON
MOS
MRO
MS
MTB
MUR
MWV
NBL
NBR
NDAQ
NE
NEE
NEM
NFLX
NFX
NI
NKE
NOC
NOV
NRG
NSC
NTAP
NTRS
NU
NUE
NVDA
NWL
NWSA
OI
OKE
OMC
ORLY
OXY
PAYX
PBCT
PBI
PCAR
PCG
PCL
PCLN
PCP
PDCO
PEG
PEP
PETM
PFG
PH
PHM
PKI
PLD
PLL
PM
PNC
PNR
PNW
POM
PPG
PPL
PRU
PSA
PVH
PWR
PX
PXD
QCOM
QEP
R
RAI
RDC
REGN
RF
RHI
RHT
RIG
RL
ROK
ROP
ROST
RRC
RSG
RTN
SBUX
SCG
SCHW
SE
SEE
SHW
SIAL
SJM
SLB
SNA
SNDK
SNI
SPG
SPLS
SRCL
SRE
STI
STJ
STT
STX
STZ
SWK
SWN
SWY
SYK
SYMC
SYY
TAP
TDC
TE
TEG
TEL
TGT
THC
TIF
TJX
TMK
TMO
TROW
TSN
TSO
TSS
TWC
TWX
TXT
TYC
UNH
UNM
UNP
UPS
URBN
USB
V
VAR
VFC
VLO
VMC
VNO
VRSN
VTR
WAG
WAT
WEC
WFC
WHR
WIN
WLP
WM
WMB
WU
WY
WYN
WYNN
X
XEL
XL
XRAY
XRX
YHOO
YUM
ZION
ZMH
