AGN,-2199.4552470119961
WLP,-2265.7070808750141
YUM,-2344.261459197005
JWN,799.65186886499578
TAP,100.87194127698604
BWA,365.43340261501726
WM,-1753.9724925149785
SPG,-286.9736088449863
FIS,-45.390268189978087
GIS,-236.4932837549859
MJN,-1558.032729870989
NWL,156.3454920599761
GD,-3466.5171772950416
VAR,1539.6646325140464
GM,1643.9687867410103
MAS,-253.82779064701754
PKI,1775.4881456329749
SNA,-34.020585743011907
SNI,1332.2283810179506
XRAY,215.96550270002626
MAC,-1829.1494885040156
TSN,-343.3242125200195
TSO,-2752.9271726889856
CMI,-2067.3252960609534
DISCA,-73.270037805021275
CMG,-1193.4856209838472
PCP,-289.31182986905333
CMA,-761.78595898603089
PCL,-1385.9052072710037
CMS,-746.84874735800258
DTV,721.62840707603027
VLO,-3970.2038521539798
HUM,287.12063809302344
PCLN,-22758.860213913926
FSLR,-2564.6420826699905
HCP,-968.64618042304937
IGT,-447.29533891596657
K,58.797289065027144
FFIV,-2440.4578029540426
BLL,-404.76726532698376
ORLY,-6538.0453945429908
BLK,-1135.0597191109409
FTI,-1134.8382742859976
HCN,1215.5527221429511
NFX,1024.7059869250515
MA,-255.53329230993404
CBG,822.83049054801813
MO,988.99169427900051
NOC,-753.7901434450032
CBS,-498.54538920897176
NDAQ,-1450.7691258039995
MMC,351.0239015489642
MS,262.54959028199664
TJX,-1723.5142995769856
NOV,202.46683102399402
AMGN,-3746.7301863120083
COST,-2316.6847074780526
FE,-313.20141401897126
CTL,-927.02317495700845
DPS,11.231303531982121
DOV,862.83328579697991
DOW,-684.05968608999683
GLW,354.58952166997187
SCHW,73.635614053026075
BSX,410.18545297002129
GGP,-851.42547258800187
FCX,95.516281836011331
HSP,-169.68185246401117
WHR,-8960.4942719230166
BBBY,-1144.6505913529836
MDT,-558.704078973984
ZMH,1086.8866733399773
DFS,-468.28222023497801
JEC,-63.159866930000135
V,-6250.6613261450111
FMC,-2121.8540947080328
NTAP,1264.4599653030455
LMT,-4188.7021979669807
JNPR,-333.61282317301084
SE,-185.00916405802127
WEC,-399.97477716200228
ADBE,-1725.143904446013
BAX,-955.97208985398174
CAH,-2381.9365345920087
CAM,-2034.163728554995
GS,0.0
CAG,-1800.2687106069643
LO,-378.25260314298794
LM,-1425.0568163050339
LH,1053.2443360400066
HIG,-333.03302540699951
CELG,-343.56140449497616
A,-944.40666479995707
ABC,-835.55768274702132
ZION,1407.2892137009912
STI,69.239549977050046
STJ,150.60532979099662
STT,-532.09220737100986
ABT,-1021.4905162819778
STX,1596.8558200209809
STZ,2190.9080057120154
BHI,-489.78986100097245
CERN,-3388.3087689550011
RSG,-680.71652722998988
PNW,-1537.2299636139942
IVZ,841.49140145306592
PNC,1795.7608620619721
BXP,-3569.6128338719864
VFC,1307.8865209859796
AMZN,-12627.039712781014
AON,-308.42297210801917
RAI,-174.2267216030159
PRU,471.82463669397112
RF,-29.107363963034004
RL,670.37570729195431
URBN,1184.9565661069646
CHK,-721.32312227092916
L,-1419.5155665510101
HRS,-2519.1338296610047
HRL,18.853851520994795
MRO,-561.86076020002656
HRB,848.546525438971
IPG,-245.47421559599752
RHT,2248.144294675003
TYC,56.08389134099707
RHI,-1015.8599487770116
APH,527.85707210897817
ROST,-2459.568247764968
APC,-1819.7176075519819
APA,2840.1033613870095
APD,-1481.4433331270411
KSU,-669.36951731302543
KSS,449.03022645498277
WFC,-484.23549242799345
IFF,-1185.5762432680058
NVDA,198.24464831103978
JBL,-476.83122176596953
RTN,-2843.9702411540202
BMS,-735.61829766399751
BMY,-204.10552670004836
SYMC,-623.11769833700964
EL,-2635.6582014800224
PAYX,-1053.384185752031
OXY,-792.03923312404368
SHW,-3964.1375529509969
GCI,483.45847627500189
ED,-19.530861653984175
CSC,-485.5349688379938
CSX,28.544065064037568
TMK,609.59220487393031
LUV,844.9418852860108
MUR,-1844.627159767042
ATI,1741.5374897859874
WYN,-1873.0461503620172
LUK,-723.61953605603776
ADSK,-1099.8069176420249
ECL,-1536.7447560979926
SNDK,-3570.4841513800493
SEE,-129.26666787800787
PVH,-6548.1522431549965
DGX,1238.0332778260345
NUE,-462.91636515296705
CME,-2294.1164749470336
EXPE,-2140.4509649249958
EXPD,976.23810671998945
UNP,-1580.0607504390064
ETFC,-412.93854785794974
XL,-171.79119056696072
R,737.20569259399781
CLX,-943.36702894700284
FDO,979.9946317889553
UNH,-1683.4374628079968
BBT,343.37557492997439
UNM,-192.81768488802481
OMC,-1506.3725118739967
VMC,133.689081154007
NU,-861.22081503798836
KR,-23.026241261017276
LNC,46.285060857000644
KEY,215.55626017498435
ITW,2203.441203191047
KLAC,-2641.8264485109685
DO,341.11240873202041
SWK,473.91708758599998
PNR,-201.71759886103973
WYNN,-11665.609647293968
SWN,-619.84877607900125
DG,2200.1848688379832
DE,-1122.3700243360072
SWY,866.18730887700804
TGT,-943.70113040403521
BIG,-5355.3901832320116
PCG,-1853.9213429610099
POM,-886.09424001204025
AKAM,-2972.468725298997
DHI,44.297412083018571
M,-1743.0419406989677
INTU,-2037.0506211660249
ALXN,-1471.6686809830862
DHR,294.23060606996296
SLB,-1584.7528141030343
MCO,723.63783580799645
MCK,1679.3125965150102
NRG,-831.23578041700239
PBCT,-33.531982170010451
VTR,-163.13042977094301
NFLX,-1528.8427133700025
EXC,-1448.3089446340018
AAPL,-3603.8018976470048
DNR,-203.73996386000363
SRCL,-571.63532959604345
WU,-472.00552105302631
WY,-1562.8589240459987
VNO,-286.89767877502891
SPLS,44.271437781004352
HST,-214.78082645498216
