Identifier,Weight
HCN,0.12
IP,0.12
LO,0.12
M,0.12
PCAR,0.12
PCG,0.12
PRGO,0.12
SNDK,0.12
STI,0.12
TROW,0.12
WM,0.12
WDC,0.12
A,0.11
AVB,0.11
DLPH,0.11
DG,0.11
HCP,0.11
HUM,0.11
MJN,0.11
MYL,0.11
PLD,0.11
PEG,0.11
RAI,0.11
TYC,0.11
ZTS,0.11
AA,0.10
AZO,0.10
BXP,0.10
CCL,0.10
CERN,0.10
EIX,0.10
EL,0.10
FITB,0.10
ISRG,0.10
IVZ,0.10
MCO,0.10
OMC,0.10
PH,0.10
STX,0.10
SHW,0.10
STJ,0.10
VTR,0.10
VNO,0.10
WY,0.10
ZMH,0.10
ABC,0.09
APH,0.09
BSX,0.09
ED,0.09
FIS,0.09
FISV,0.09
HIG,0.09
HST,0.09
IR,0.09
K,0.09
GMCR,0.09
LB,0.09
MTB,0.09
KORS,0.09
NTRS,0.09
NUE,0.09
ORLY,0.09
ROK,0.09
ROST,0.09
SIAL,0.09
HOT,0.09
SYMC,0.09
GWW,0.09
XEL,0.09
ADS,0.08
ADI,0.08
ADSK,0.08
BBBY,0.08
BF.B,0.08
CF,0.08
CAG,0.08
STZ,0.08
DTE,0.08
DOV,0.08
EQT,0.08
ETR,0.08
FE,0.08
GGP,0.08
GPC,0.08
HSY,0.08
KSU,0.08
LNC,0.08
MAR,0.08
MNST,0.08
MOS,0.08
MSI,0.08
NTAP,0.08
NLSN,0.08
NU,0.08
OKE,0.08
PAYX,0.08
PFG,0.08
PGR,0.08
RF,0.08
ROP,0.08
SWK,0.08
WFM,0.08
WYNN,0.08
XRX,0.08
AME,0.07
BWA,0.07
COG,0.07
CAM,0.07
CLX,0.07
DVA,0.07
DLTR,0.07
DPS,0.07
EMN,0.07
FTI,0.07
FAST,0.07
GPS,0.07
HOG,0.07
KLAC,0.07
KEY,0.07
KSS,0.07
LRCX,0.07
L,0.07
TAP,0.07
NI,0.07
PNR,0.07
SWN,0.07
TSN,0.07
AMG,0.06
AKAM,0.06
ALTR,0.06
BBY,0.06
BCR,0.06
CHRW,0.06
KMX,0.06
CNP,0.06
CHK,0.06
XEC,0.06
CTXS,0.06
COH,0.06
CCE,0.06
DISCK,0.06
EW,0.06
EA,0.06
ESS,0.06
FLR,0.06
HP,0.06
SJM,0.06
LLL,0.06
LLTC,0.06
MNK,0.06
MAT,0.06
NRG,0.06
NEM,0.06
JWN,0.06
PVH,0.06
RL,0.06
RRC,0.06
RHT,0.06
RSG,0.06
COL,0.06
SRCL,0.06
TXT,0.06
TIF,0.06
RIG,0.06
TRIP,0.06
UA,0.06
URI,0.06
UHS,0.06
WHR,0.06
WEC,0.06
WYN,0.06
XLNX,0.06
AES,0.05
AEE,0.05
BLL,0.05
CA,0.05
CBG,0.05
CMS,0.05
CNX,0.05
CFN,0.05
CMA,0.05
CSC,0.05
ESV,0.05
EFX,0.05
EXPE,0.05
EXPD,0.05
FFIV,0.05
FLS,0.05
HRB,0.05
HSP,0.05
HBAN,0.05
JNPR,0.05
KIM,0.05
LH,0.05
MAC,0.05
MAS,0.05
MKC,0.05
MCHP,0.05
MHK,0.05
MUR,0.05
NVDA,0.05
NWL,0.05
PLL,0.05
DGX,0.05
SNI,0.05
TSO,0.05
TSCO,0.05
UNM,0.05
VAR,0.05
WAT,0.05
WU,0.05
XL,0.05
ADT,0.04
ARG,0.04
CPB,0.04
CINF,0.04
CTAS,0.04
DHI,0.04
XRAY,0.04
DRI,0.04
ETFC,0.04
FMC,0.04
FDO,0.04
FTR,0.04
GCI,0.04
GRMN,0.04
GNW,0.04
GT,0.04
HAR,0.04
HRS,0.04
HAS,0.04
HRL,0.04
IFF,0.04
IPG,0.04
JEC,0.04
LEN,0.04
LUK,0.04
MLM,0.04
MWV,0.04
NAVI,0.04
NWSA,0.04
POM,0.04
PETM,0.04
PCL,0.04
PHM,0.04
PWR,0.04
RHI,0.04
SCG,0.04
SWY,0.04
SEE,0.04
SNA,0.04
SPLS,0.04
TDC,0.04
TMK,0.04
VRSN,0.04
VMC,0.04
WIN,0.04
XYL,0.04
GAS,0.03
ALLE,0.03
AIV,0.03
AIZ,0.03
AVP,0.03
DNR,0.03
DISCA,0.03
DNB,0.03
FSLR,0.03
FOSL,0.03
GME,0.03
HCBK,0.03
TEG,0.03
IRM,0.03
JOY,0.03
LM,0.03
LEG,0.03
NDAQ,0.03
NBR,0.03
NFX,0.03
NE,0.03
PBCT,0.03
PKI,0.03
PNW,0.03
PBI,0.03
QEP,0.03
R,0.03
THC,0.03
TSS,0.03
ZION,0.03
ATI,0.02
AN,0.02
AVY,0.02
BMS,0.02
CVC,0.02
FLIR,0.02
JBL,0.02
OI,0.02
PDCO,0.02
TE,0.02
URBN,0.02
DO,0.01
,
,
,
,
,
,
,
,
,
,
