Date,Open,High,Low,Close,Volume,Adj Close
1/3/2011,126.71,127.6,125.7,127.05,138725200,117.69
1/4/2011,127.33,127.37,126.19,126.98,137409700,117.62
1/5/2011,126.58,127.72,126.46,127.64,133975300,118.24
1/6/2011,127.69,127.83,127.01,127.39,122519000,118
1/7/2011,127.56,127.77,126.15,127.14,156034600,117.77
1/10/2011,126.58,127.16,126.2,126.98,122401700,117.62
1/11/2011,127.44,127.74,126.95,127.43,110287000,118.04
1/12/2011,128.21,128.72,127.46,128.58,107929200,119.11
1/13/2011,128.63,128.69,128.05,128.37,129048400,118.91
1/14/2011,128.19,129.33,128.1,129.3,117677900,119.77
1/18/2011,129.18,129.64,129.03,129.52,114401300,119.98
1/19/2011,129.41,129.54,127.91,128.25,151958400,118.8
1/20/2011,127.96,128.4,127.13,128.08,175745700,118.64
1/21/2011,128.88,129.17,128.23,128.37,151462900,118.91
1/24/2011,128.29,129.25,128.26,129.1,113715500,119.59
1/25/2011,128.76,129.28,128.11,129.17,167552200,119.65
1/26/2011,129.49,130.05,129.23,129.67,141281500,120.12
1/27/2011,129.7,130.21,129.47,129.99,123302700,120.41
1/28/2011,130.14,130.35,127.51,127.72,295637300,118.31
1/31/2011,128.07,128.78,127.75,128.68,149249200,119.2
2/1/2011,129.46,130.97,129.38,130.74,167194300,121.11
2/2/2011,130.4,130.84,130.33,130.49,118323600,120.88
2/3/2011,130.26,130.98,129.57,130.78,145886700,121.14
2/4/2011,130.83,131.2,130.23,131.15,134634800,121.49
2/7/2011,131.44,132.4,131.43,131.97,112439100,122.25
2/8/2011,132.09,132.64,131.73,132.57,99072800,122.8
2/9/2011,132.21,132.63,131.61,132.27,146436700,122.52
2/10/2011,131.6,132.47,131.3,132.32,162708500,122.57
2/11/2011,131.8,133.28,131.77,133.11,137710300,123.3
2/14/2011,133.03,133.54,132.88,133.43,101690700,123.6
2/15/2011,133.02,133.22,132.32,133.01,119575400,123.21
2/16/2011,133.46,134.01,133.19,133.85,130183500,123.99
2/17/2011,133.46,134.43,133.34,134.25,109810500,124.36
2/18/2011,134.37,134.69,134.06,134.53,130002400,124.62
2/22/2011,133.12,134.56,131.47,131.83,233116400,122.12
2/23/2011,131.75,132.07,130.21,131.02,227584000,121.37
2/24/2011,130.88,131.44,129.7,130.93,260431400,121.28
2/25/2011,131.48,132.41,131.4,132.33,141686900,122.58
2/28/2011,132.82,133.32,132.38,133.15,141585500,123.34
3/1/2011,133.57,133.69,130.89,130.93,258565500,121.28
3/2/2011,130.75,131.82,130.35,131.21,200277400,121.54
3/3/2011,132.4,133.62,132.39,133.47,176480100,123.64
3/4/2011,133.37,133.63,131.6,132.47,277202300,122.71
3/7/2011,132.86,133.16,130.74,131.43,216790400,121.75
3/8/2011,131.64,133,131.07,132.58,174615000,122.81
3/9/2011,132.32,132.8,131.6,132.39,153806000,122.64
3/10/2011,131,131.18,129.81,129.94,301291800,120.37
3/11/2011,129.52,131.31,129.49,130.84,225621800,121.2
3/14/2011,129.99,130.48,129.06,130.05,234974100,120.47
3/15/2011,126.59,129.33,126.5,128.56,359585400,119.09
3/16/2011,128.15,128.57,125.28,126.18,468670300,116.88
3/17/2011,128,128.39,127.1,127.85,254303700,118.43
3/18/2011,128.84,128.88,127.51,127.76,230435400,118.86
3/21/2011,129.35,130.01,129.2,129.74,153992600,120.7
3/22/2011,129.72,129.89,129.17,129.29,129538600,120.28
3/23/2011,128.93,130,128.32,129.66,148603100,120.63
3/24/2011,130.4,131.09,129.67,130.9,159129800,121.78
3/25/2011,131.24,131.87,130.89,131.3,155642800,122.15
3/28/2011,131.58,131.92,130.94,130.98,109762400,121.86
3/29/2011,130.87,131.9,130.44,131.86,129798800,122.68
3/30/2011,132.55,133.16,132.36,132.77,135835000,123.52
3/31/2011,132.6,132.96,132.45,132.59,132537100,123.35
4/1/2011,133.41,133.77,132.83,133.15,153850100,123.88
4/4/2011,133.43,133.67,132.88,133.26,100768900,123.98
4/5/2011,133,133.83,132.94,133.24,120791500,123.96
4/6/2011,133.88,134,133.12,133.66,120411600,124.35
4/7/2011,133.42,133.98,132.66,133.32,170731500,124.03
4/8/2011,133.91,133.99,132.31,132.86,147945400,123.61
4/11/2011,133,133.45,132.14,132.46,121385400,123.23
4/12/2011,131.72,131.98,130.99,131.47,161187400,122.31
4/13/2011,132.08,132.18,130.96,131.46,162059000,122.3
4/14/2011,130.7,131.76,130.27,131.56,161220400,122.4
