"","V1","V2","V3","V4"
"1","AA","DIA","-0.000805762155685535","0.728574724434577"
"2","AXP","DIA","1.6580740359508","0.781082456513552"
"3","BA","DIA","0.000130479535479926","0.751203866503114"
"4","BAC","DIA","1.23618247079325","0.673999649775874"
"5","CAT","DIA","7.95638086702029e-05","0.781429979615582"
"6","CSCO","DIA","1.23138385051332","0.568392000898556"
"7","DD","DIA","-0.000741963331692063","0.803637848898357"
"8","DIS","DIA","1.88314116869383","0.784007975953627"
"9","HD","DIA","-0.000675003462396872","0.661834321243496"
"10","HPQ","DIA","1.46438181789534","0.507773493956854"
"11","IBM","DIA","-0.000321823384581034","0.707567772625059"
"12","INTC","DIA","1.08604482460659","0.619943238983802"
"13","JNJ","DIA","-0.000234537703241005","0.720190915170582"
"14","JPM","DIA","1.24162650127953","0.747350772211514"
"15","KO","DIA","0.000297675250070618","0.2678894431224"
"16","MCD","DIA","1.23013406168751","0.59135315854114"
"17","MMM","DIA","0.000544941006595584","0.860165349495259"
"18","MRK","DIA","0.943925446020108","0.615685400760737"
"19","MSFT","DIA","-0.000844379417794312","0.610546372512528"
"20","PFE","DIA","1.29866460866987","0.673282716490712"
"21","PG","DIA","-0.000193529283100153","0.576954021744234"
"22","T","DIA","0.928004011863805","0.619677934218565"
"23","TRV","DIA","5.1242326490402e-05","0.741952795744043"
"24","UTX","DIA","0.992223723484282","0.846275269384529"
"25","VZ","DIA","0.000220093353816276","0.563039038970601"
"26","WMT","DIA","0.686815375063631","0.539654463853917"
"27","XOM","DIA","-0.000403751447802575","0.812777182156963"
