"","V1","V2","V3","V4"
"1","A ","SPY","1.11244252513383","0.564111927567875"
"2","AAPL ","SPY","0.525097802455389","0.0777947729710435"
"3","ABC ","SPY","0.459332791445982","0.371825075603729"
"4","ABT ","SPY","0.162964613786255","0.0634550994958278"
"5","ACN ","SPY","0.708080999944568","0.462908902138038"
"6","ADBE ","SPY","0.77002812132565","0.47873560669576"
"7","ADM ","SPY","0.704902072946842","0.509428306439372"
"8","ADS ","SPY","0.676526498244166","0.450138396797982"
"9","ADSK ","SPY","1.01062062567879","0.439833972706109"
"10","AEE ","SPY","0.395214127878921","0.38473675369582"
"11","AEP ","SPY","0.328619852554563","0.332822476878799"
"12","AES ","SPY","0.86324573820724","0.560741546235854"
"13","AET ","SPY","0.572918659690933","0.366493402076049"
"14","AGN ","SPY","0.579065321348596","0.358666154701488"
"15","AIG ","SPY","1.07752446582406","0.54266894384462"
"16","AIV ","SPY","0.65461604034922","0.463411288597464"
"17","AIZ ","SPY","0.649459669413771","0.474080115827355"
"18","AKAM ","SPY","1.02272697177568","0.381361070830291"
"19","ALTR ","SPY","0.775111049366374","0.420498636523436"
"20","ALXN ","SPY","0.808192586699924","0.244955129950985"
"21","AMAT ","SPY","0.720309001790716","0.459028237724511"
"22","AME ","SPY","0.912008455984328","0.444503638624051"
"23","AMGN ","SPY","0.457122149687026","0.35556576467289"
"24","AMP ","SPY","1.11857796172548","0.633322653080476"
"25","AMT ","SPY","0.505504876350021","0.380513581507913"
"26","AMZN ","SPY","0.663795021031553","0.341909566357572"
"27","AN ","SPY","0.689004291519696","0.413390628281579"
"28","AON ","SPY","0.553359950601793","0.473124606630691"
"29","APA ","SPY","0.855818661268426","0.511342658040596"
"30","APC ","SPY","1.02428786886254","0.514702329854942"
"31","APD ","SPY","0.726491565637373","0.557533786182564"
"32","APH ","SPY","0.86654659569733","0.567668573626597"
"33","ARG ","SPY","0.596762855723319","0.481109454198642"
"34","ATI ","SPY","1.32643431500489","0.526809715358443"
"35","AVB ","SPY","0.502128052551136","0.424316141373063"
"36","AVP ","SPY","0.604137688184336","0.270318301929121"
"37","AVY ","SPY","0.84652364554772","0.5057805740715"
"38","AZO ","SPY","0.333792598696626","0.314495465020661"
"39","BAX ","SPY","0.505581005730508","0.437845702644193"
"40","BBBY ","SPY","0.572472185598649","0.352601454797461"
"41","BBT ","SPY","0.828095892488397","0.600236392521513"
"42","BFb ","SPY","0.54646649742726","0.316522586757451"
"43","BHI ","SPY","1.21840787440212","0.0401521739119534"
"44","BIG ","SPY","0.622146020085549","0.265369060093478"
"45","BK ","SPY","0.873959575909504","0.578560433784848"
"46","BLK ","SPY","0.961374568384499","0.62254607034464"
"47","BLL ","SPY","0.515859879250073","0.198989871486799"
"48","BMS ","SPY","0.529274842489151","0.442520167222064"
"49","BMY ","SPY","0.418728207488996","0.348578175768222"
"50","BRCM ","SPY","0.789649706525549","0.391863849041389"
"51","BRKb ","SPY","0.613570935652067","0.639514311264243"
"52","BSX ","SPY","0.714514907083573","0.394004425512817"
"53","BWA ","SPY","1.05913095391139","0.355355465107052"
"54","BXP ","SPY","0.589635645469565","0.497783655634038"
"55","C ","SPY","1.45878712804732","0.18371836018808"
"56","CA ","SPY","0.613816813260094","0.439973230684849"
"57","CAG ","SPY","0.28808187922133","0.267168352680096"
"58","CAH ","SPY","0.502599400100151","0.399941620225087"
"59","CAM ","SPY","1.02689973498896","0.500548048658136"
"60","CB ","SPY","0.523658203609192","0.538457927098329"
"61","CBG ","SPY","1.08109663037489","0.527756333700427"
"62","CBS ","SPY","1.05718801926892","0.557408575685196"
"63","CCE ","SPY","0.636378105569242","0.499167188746004"
"64","CCI ","SPY","0.475006148940477","0.371451484185591"
"65","CCL ","SPY","0.786492388704795","0.475103094280763"
"66","CELG ","SPY","0.633207971562825","0.217502027139573"
"67","CERN ","SPY","0.52274696955323","0.142627732766612"
"68","CF ","SPY","0.950213047081098","0.444004241533211"
"69","CHK ","SPY","0.908069923105176","0.379313838146356"
"70","CHRW ","SPY","0.598373994630737","0.400308908614809"
"71","CINF ","SPY","0.585153012593246","0.499999267885989"
"72","CL ","SPY","0.360087945690435","0.143686712585383"
"73","CLX ","SPY","0.301194915668237","0.322124897584086"
"74","CMA ","SPY","0.890723411488154","0.573391604695285"
"75","CMCSA ","SPY","0.628571463705697","0.476383186834857"
"76","CME ","SPY","0.818225788509915","0.144853964939091"
"77","CMG ","SPY","0.636389567661807","0.309385165564901"
"78","CMI ","SPY","1.11573368876871","0.556690441571193"
"79","CMS ","SPY","0.363131358217012","0.369895470265129"
"80","CNX ","SPY","1.05086789633712","0.460192226384532"
"81","COF ","SPY","0.899946609430825","0.548885952521295"
"82","COG ","SPY","1.19726161095023","0.29554039669641"
"83","COH ","SPY","0.832802797675073","0.384295718063992"
"84","COL ","SPY","0.662530780136947","0.524433633641407"
"85","COP ","SPY","0.628717012684493","0.420865190208644"
"86","COST ","SPY","0.452187372272546","0.453207584284847"
"87","COV ","SPY","0.631880736260759","0.440885207676526"
"88","CRM ","SPY","0.909652384585111","0.174297650533538"
"89","CSC ","SPY","0.946046887526986","0.430721479193327"
"90","CSX ","SPY","0.819197725318451","0.203190407069281"
"91","CTAS ","SPY","0.643986362574532","0.501248335239714"
"92","CTL ","SPY","0.435838101684604","0.293994862442149"
"93","CTSH ","SPY","0.813346992368003","0.26371064775386"
"94","CTXS ","SPY","0.879110630665482","0.397499419970119"
"95","CVS ","SPY","0.485498087905386","0.44516458823611"
"96","D ","SPY","0.287919035687718","0.321845257123175"
"97","DAL ","SPY","0.869078466754512","0.359232507387219"
"98","DE ","SPY","0.794582798924773","0.521610476624244"
"99","DFS ","SPY","0.788300563147933","0.51304824748027"
"100","DG ","SPY","0.334826227258165","0.219507135064072"
"101","DGX ","SPY","0.404746056277336","0.319975839663257"
"102","DHI ","SPY","0.941100276508843","0.419588466038636"
"103","DHR ","SPY","0.748683400092687","0.590049062043984"
"104","DISCA ","SPY","0.725908055536018","0.258344206423585"
"105","DLTR ","SPY","0.317112867996453","0.104022632583988"
"106","DNB ","SPY","0.585621671576492","0.38325369407134"
