Date,Open,High,Low,Close,Volume,Adj Close
1/3/2011,116.41,116.86,116.36,116.41,9108900,106.21
1/4/2011,116.71,116.73,116.11,116.64,9775600,106.42
1/5/2011,116.46,117.19,116.3,117.04,7567800,106.78
1/6/2011,117.14,117.19,116.5,116.78,7161600,106.54
1/7/2011,116.91,117.1,115.82,116.57,9249800,106.35
1/10/2011,116.16,116.34,115.56,116.2,6166700,106.01
1/11/2011,116.63,116.86,116.17,116.55,5122600,106.33
1/12/2011,117.15,117.65,117.01,117.4,5255800,107.11
1/13/2011,117.37,117.38,116.82,117.2,6056800,106.93
1/14/2011,116.88,117.77,116.81,117.69,5885800,107.37
1/18/2011,117.76,118.43,117.74,118.23,4665700,107.87
1/19/2011,118.35,118.49,117.86,118.16,9080300,107.8
1/20/2011,117.84,118.34,117.33,118.12,10935600,107.77
1/21/2011,118.71,118.8,117.97,118.46,9663000,108.21
1/24/2011,118.36,119.58,118.34,119.56,12299400,109.21
1/25/2011,119.3,119.59,118.71,119.49,10474000,109.15
1/26/2011,119.55,119.94,119.34,119.61,9154100,109.26
1/27/2011,119.62,119.93,119.45,119.64,7393200,109.29
1/28/2011,119.66,119.86,117.76,118.02,17156100,107.81
1/31/2011,118.25,118.65,117.88,118.6,8965000,108.34
2/1/2011,119.16,120.23,119.08,120.09,7626900,109.7
2/2/2011,119.89,120.32,119.89,120.1,4231200,109.71
2/3/2011,120.03,120.57,119.56,120.37,6338100,109.95
2/4/2011,120.37,120.69,120.02,120.69,5191300,110.25
2/7/2011,120.88,121.65,120.85,121.35,7317100,110.85
2/8/2011,121.45,122.22,121.33,122.14,6032000,111.57
2/9/2011,122.11,122.4,121.75,122.28,7682100,111.7
2/10/2011,121.77,122.25,121.43,122.17,7202200,111.6
2/11/2011,121.82,122.76,121.71,122.65,6887200,112.04
2/14/2011,122.49,122.71,122.3,122.61,4093900,112
2/15/2011,122.34,122.37,121.88,122.2,4854700,111.62
2/16/2011,122.49,123.06,122.37,122.88,5680000,112.25
2/17/2011,122.65,123.34,122.57,123.16,4856500,112.5
2/18/2011,122.97,123.64,122.82,123.6,6320900,113.18
2/22/2011,122.87,123.28,121.49,121.89,9844300,111.61
2/23/2011,121.67,121.77,120.36,120.85,14461100,110.66
2/24/2011,120.77,121.04,119.56,120.42,12247300,110.27
2/25/2011,120.94,121.33,120.74,121.14,5649800,110.93
2/28/2011,121.5,122.18,121.44,122.15,5759600,111.85
3/1/2011,122.4,122.48,120.37,120.37,9666700,110.22
3/2/2011,120.25,120.98,120,120.45,8298400,110.29
3/3/2011,121.44,122.66,121.43,122.36,7297200,112.04
3/4/2011,122.43,122.53,120.6,121.47,10366700,111.23
3/7/2011,121.77,122.26,120.21,120.71,8355500,110.53
3/8/2011,120.87,122.39,120.58,121.99,8009200,111.7
3/9/2011,121.87,122.46,121.45,122.01,7819900,111.72
3/10/2011,120.95,121.05,119.62,119.73,15698000,109.64
3/11/2011,119.27,120.84,119.22,120.42,10479900,110.27
3/14/2011,119.77,120.11,118.92,119.85,8026700,109.75
3/15/2011,117.1,119.13,116.92,118.43,14786600,108.44
3/16/2011,117.99,118.21,115.51,116.16,16469000,106.37
3/17/2011,117.45,117.98,116.91,117.69,7902300,107.77
3/18/2011,118.83,119.01,118,118.27,10498900,108.51
3/21/2011,119.55,120.52,119.55,120.07,7615000,110.16
3/22/2011,120.15,120.24,119.77,119.92,6360500,110.02
3/23/2011,119.68,120.91,119.44,120.63,6693400,110.67
3/24/2011,121.25,121.65,120.72,121.46,4827100,111.43
3/25/2011,121.7,122.33,121.6,121.96,6604100,111.89
3/28/2011,122.11,122.46,121.7,121.76,2663400,111.71
3/29/2011,121.74,122.6,121.49,122.51,6025800,112.4
3/30/2011,123,123.58,122.94,123.21,4100800,113.04
3/31/2011,123.18,123.56,122.95,123.02,4355100,112.86
4/1/2011,123.59,123.95,123.14,123.46,5203200,113.27
4/4/2011,123.64,123.84,123.45,123.76,6278900,113.54
4/5/2011,123.52,124.14,123.26,123.65,8523300,113.44
4/6/2011,124.21,124.36,123.8,124.17,4246000,113.92
4/7/2011,124.04,124.25,123.11,123.91,6542200,113.68
4/8/2011,124.29,124.35,123.05,123.65,6080300,113.44
4/11/2011,123.79,124.28,123.36,123.64,5467500,113.43
4/12/2011,122.92,123.1,122.17,122.46,5161400,112.35
4/13/2011,123.17,123.21,122.08,122.55,4278200,112.43
4/14/2011,121.97,122.89,121.46,122.72,4338300,112.59
4/15/2011,122.88,123.42,122.45,123.19,5299500,113.12
4/18/2011,121.83,121.88,120.65,121.74,10033200,111.79
4/19/2011,121.96,122.49,121.73,122.39,5007200,112.39
4/20/2011,123.93,124.53,123.76,124.34,6708700,114.18
4/21/2011,124.63,124.81,124.19,124.79,4019100,114.59
4/25/2011,124.66,124.71,124.21,124.55,4441200,114.37
4/26/2011,124.79,125.88,124.65,125.7,6200000,115.43
4/27/2011,125.88,126.87,125.67,126.69,5703800,116.34
4/28/2011,126.56,127.54,126.54,127.42,11788000,117.01
4/29/2011,127.56,128.12,127.54,128.04,11425900,117.58
5/2/2011,128.6,128.63,127.62,127.84,10518700,117.39
5/3/2011,127.76,128.18,127.27,127.82,7708200,117.38
5/4/2011,127.67,127.76,126.51,126.97,8253900,116.59
5/5/2011,126.58,126.84,125,125.64,11362900,115.37
5/6/2011,126.73,127.44,125.83,126.27,9866400,115.95
5/9/2011,126.24,127.07,126.04,126.71,5464900,116.36
5/10/2011,126.96,127.67,126.81,127.45,4179600,117.04
5/11/2011,127.2,127.25,125.74,126.31,7813600,115.99
5/12/2011,125.96,127.16,125.37,126.99,6684200,116.61
5/13/2011,126.98,127.12,125.41,125.96,6677500,115.67
5/16/2011,125.57,126.42,125.29,125.47,4399900,115.22
5/17/2011,124.93,125.26,123.85,124.81,25391000,114.61
5/18/2011,124.89,125.85,124.56,125.71,4534600,115.44
5/19/2011,126.11,126.48,125.46,126.18,4714900,115.87
5/20/2011,125.51,125.66,124.57,124.85,6881200,115.03
5/23/2011,123.22,123.88,123.03,123.52,5901700,113.8
5/24/2011,123.81,123.96,123.21,123.3,4244400,113.6
5/25/2011,122.84,124.13,122.8,123.65,4110900,113.92
5/26/2011,123.41,124.17,122.92,123.8,6190400,114.06
5/27/2011,124.18,124.65,123.98,124.23,4402800,114.45
5/31/2011,125.33,125.55,124.6,125.5,5290000,115.62
6/1/2011,125.13,125.18,122.62,122.7,8218900,113.04
6/2/2011,122.76,122.87,121.72,122.3,8832200,112.68
6/3/2011,120.88,122,120.84,121.32,6224000,111.77
6/6/2011,121.1,121.34,120.51,120.73,4679000,111.23
6/7/2011,121.28,121.6,120.47,120.49,3834600,111.01
6/8/2011,120.41,120.83,120.08,120.3,6860100,110.83
6/9/2011,120.59,121.68,120.43,121.12,4024900,111.59
6/10/2011,120.65,120.74,119.21,119.37,7384800,109.98
6/13/2011,119.73,120.04,119.09,119.46,5363200,110.06
6/14/2011,120.25,121.14,120.21,120.7,4853100,111.2
6/15/2011,119.65,120.06,118.55,118.88,20958800,109.53
6/16/2011,118.84,119.85,118.69,119.53,7469900,110.12
6/17/2011,120.23,120.47,119.43,119.74,7742000,110.51
6/20/2011,119.35,120.74,119.34,120.54,5679800,111.25
6/21/2011,120.98,121.91,120.74,121.59,4744500,112.22
6/22/2011,121.15,121.81,120.79,120.81,4702500,111.5
6/23/2011,119.62,120.34,118.49,120.32,9033500,111.05
6/24/2011,120.23,120.31,118.99,119.2,6643300,110.01
6/27/2011,119.27,120.73,119.08,120.2,4488800,110.93
6/28/2011,120.63,121.65,120.49,121.61,4085500,112.24
6/29/2011,122,122.61,121.49,122.45,5712400,113.01
6/30/2011,122.9,124.02,122.76,123.83,4754500,114.28
7/1/2011,124.09,125.72,123.8,125.58,8692000,115.9
7/5/2011,125.54,125.81,125.16,125.49,5324300,115.82
7/6/2011,125.38,126.26,125.23,126.09,9795100,116.37
7/7/2011,126.83,127.37,126.6,127.1,4400700,117.3
7/8/2011,126.03,126.42,125.5,126.39,5987200,116.65
7/11/2011,125.17,125.46,124.54,124.95,6931200,115.32
7/12/2011,124.86,125.54,124.31,124.33,12501300,114.75
7/13/2011,124.96,125.94,124.49,124.8,7366800,115.18
7/14/2011,124.89,125.67,123.97,124.21,6517000,114.64
7/15/2011,124.71,124.77,123.78,124.56,7853000,115.06
7/18/2011,123.9,124.02,122.72,123.62,6150200,114.19
7/19/2011,124.4,125.82,124.32,125.63,5848000,116.05
7/20/2011,125.77,125.83,125.26,125.46,3291800,115.89
7/21/2011,126.03,127.3,125.73,127.03,6881400,117.34
7/22/2011,126.88,127.02,126.22,126.6,5848500,116.95
7/25/2011,125.34,126.34,125.13,125.76,5236200,116.17
7/26/2011,125.36,125.53,124.67,124.83,7202900,115.31
7/27/2011,124.37,124.39,122.69,122.84,7558600,113.47
7/28/2011,122.82,123.66,122.07,122.28,7454600,112.96
7/29/2011,121.08,122.23,120.64,121.13,16015400,111.89
8/1/2011,122.74,122.96,119.77,121.11,11630000,111.88
8/2/2011,120.32,121,118.42,118.46,9644500,109.43
8/3/2011,118.6,118.89,116.83,118.8,16594800,109.74
8/4/2011,117.32,117.57,113.56,113.71,19368300,105.04
8/5/2011,115.13,115.56,111.26,114.25,30450400,105.54
8/8/2011,111.27,113.03,108.02,108.07,30395700,99.83
8/9/2011,109.66,112.38,105.94,112.37,32097800,103.8
8/10/2011,110.22,110.67,106.87,107.17,27711600,99
8/11/2011,108.2,112.82,107.83,111.25,17393500,102.77
8/12/2011,112.49,113.49,111.58,112.8,14097500,104.2
8/15/2011,113.78,114.88,113.44,114.81,13586200,106.06
8/16/2011,113.94,114.91,112.97,114.08,10846800,105.38
8/17/2011,114.7,115.46,113.38,114.26,9350200,105.55
8/18/2011,111.6,111.7,109.01,110.07,18143700,101.68
8/19/2011,108.29,110.63,107.77,107.91,15277500,100.06
8/22/2011,110.18,110.3,108.01,108.3,11314800,100.42
8/23/2011,108.85,111.47,108.43,111.37,12374800,103.27
8/24/2011,111.25,113.07,110.91,112.95,9256900,104.74
8/25/2011,113.39,113.78,110.81,111.26,10391700,103.17
8/26/2011,110.72,113.07,109.09,112.7,13140300,104.5
8/29/2011,113.97,115.2,113.92,115.14,7117800,106.77
8/30/2011,114.83,116.16,114.13,115.35,10480300,106.96
8/31/2011,116.16,116.97,115.12,115.95,8390900,107.52
9/1/2011,116.09,117.03,114.72,114.87,7690900,106.52
9/2/2011,112.74,113.28,111.95,112.28,9426300,104.11
9/6/2011,109.4,111.46,109.18,111.21,10881100,103.12
9/7/2011,112.74,114.02,112.4,113.94,7271500,105.65
9/8/2011,113.38,114.68,112.73,112.87,7772800,104.66
9/9/2011,111.64,111.7,109.22,109.82,11877700,101.83
9/12/2011,108.37,110.55,108.15,110.51,10062000,102.47
